ticker,exchange,name,provider
FXM,TSX,First Asset Morningstar Canada Value Index ETF,First Asset
QXM,TSX,First Asset Morningstar National Bank Québec Index ETF,First Asset
UXM,TSX,First Asset Morningstar US Dividend Target 50 Index ETF (CAD Hedged),First Asset
UXM.B,TSX,First Asset Morningstar US Dividend Target 50 Index ETF (Unhedged),First Asset
YXM,TSX,First Asset Morningstar US Momentum Index ETF (CAD Hedged),First Asset
YXM.B,TSX,First Asset Morningstar US Momentum Index ETF (Unhedged),First Asset
XXM,TSX,First Asset Morningstar US Value Index ETF (CAD Hedged),First Asset
XXM.B,TSX,First Asset Morningstar US Value Index ETF (Unhedged),First Asset
TXF,TSX,First Asset Tech Giants Covered Call ETF (CAD Hedged),First Asset
BXF,TSX,First Asset DEX 1-5 Year Laddered Government Strip Bond Index ETF,First Asset
AXF,TSX,First Asset DEX All Canada Bond Barbell Index ETF,First Asset
KXF,TSX,First Asset DEX Corporate Bond Barbell Index ETF,First Asset
GXF,TSX,First Asset DEX Government Bond Barbell Index ETF,First Asset
PXF,TSX,First Asset DEX Provincial Bond Index ETF,First Asset
EXM,TSX,First Asset Morningstar Emerging Markets Composite Bond Index ETF,First Asset
PSA,TSX,Purpose High Interest Savings ETF,Purpose Investments Inc.
MJJ,TSX,Purpose Marijuana Opportunities Fund,Purpose Investments Inc.
PSU.U,TSX,Purpose US Cash ETF,Purpose Investments Inc.
BND,TSX,Purpose Global Bond Fund,Purpose Investments Inc.
FLOT,TSX,Purpose Floating Rate Income Fund— FX Hedged,Purpose Investments Inc.
FLOT.B,TSX,Purpose Floating Rate Income Fund— Non-FX Hedged,Purpose Investments Inc.
FLOT.U,TSX,Purpose Floating Rate Income Fund— USD,Purpose Investments Inc.
IGB,TSX,Purpose Managed Duration Investment Grade Bond Fund,Purpose Investments Inc.
PBD,TSX,Purpose Total Return Bond Fund,Purpose Investments Inc.
PCF,TSX,Purpose Energy Credit Fund— FX Hedged,Purpose Investments Inc.
